stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
A400,Кадіївський пров.,50.473286,30.668913,,0,
A401,с. Биківня,50.471992,30.670643,,0,
A402,вул.Садова,50.447674,30.535149,,0,
A405,АЗС,50.400558,30.686483,,0,
A406,в. Автотранс.(Бортн.),50.377041,30.705736,,0,
A409,ст.м. "Харківська"(18),50.401779,30.651682,,0,
A41,Залізничний вокзал ,50.440666,30.490265,,0,
A410,вул. Тростянец.(18 ),50.413681,30.644699,,0,
A412,вул. Колекторна,50.38232,30.602854,,0,
A413,вул. Підлипка,50.375618,30.593636,,0,
A414,вул. Тростянец. (45),50.418774,30.655663,,0,
A415,Дарницький універ.,50.44236,30.624611,,0,
A419,б/в Арсенал,50.346066,30.618967,,0,
A42,ст.м. "Університет",50.443954,30.505764,,0,
A420,с/м Вишеньки,50.320175,30.645329,,0,
A421,к-тр Старт,50.435986,30.60807,,0,
A422,ст.м. "Бориспільська",50.403053,30.684814,,0,
A423,ФАП,50.362888,30.684521,,0,
A424,пл. Л. Українки,50.427547,30.538517,,0,
A425,пл.Слави,50.440327,30.549921,,0,
A43,Львівська площа,50.454357,30.50564,,0,
A430,АП-8,50.465599,30.457123,,0,
A433,ст.м. "Олімпійська",50.432632,30.51609,,0,
A434,ст.м. "Червоний хутір",50.409996,30.697098,,0,
A436,Русанівські сади,50.479561,30.572134,,0,
A437,к-тр  Салют,50.401932,30.527271,,0,
A438,Дарницький вокзал,50.430908,30.649015,,0,
A439,Дарницький ринок,50.43063,30.655802,,0,
A44,вул. Татарська,50.468361,30.484589,,0,
A441,бул. Шамо,50.43401,30.601212,,0,
A450,вул.Борщагівська,50.442417,30.442926,,0,
A458,пр.Лісовий (33),50.479782,30.625721,,0,
A459,Милослав.(21),50.531616,30.610481,,0,
A46,ст.м "Політех інститут",50.451576,30.467196,,0,
A460,вул. Милославська (73),50.532375,30.597961,,0,
A461,м. пл. Л Толстого,50.439663,30.515257,,0,
A462,М.Борщагівка,50.407711,30.40447,,0,
A463,пл.Перемоги,50.446445,30.49362,,0,
A468,вул. Олексіївська,50.425602,30.4774,,0,
A47,вул. Сосніних,50.417683,30.388714,,0,
A471,ст.м. "Дорогожичі "(вис),50.473801,30.448092,,0,
A474,ст.м. "Славутич",50.392521,30.605358,,0,
A475,вул. Луначарського,50.459793,30.58997,,0,
A476,а/с Південна,50.37804,30.470613,,0,
A477,вул. Ахматової,50.411098,30.646332,,0,
A48,вул. Л-Вольгемут,50.418659,30.375296,,0,
A480,Одеська площа,50.370499,30.458706,,0,
A482,платф. Троєщина,50.480194,30.5835,,0,
A484,вул. Старовокзальна,50.443577,30.488789,,0,
A487,7-лінія,50.540569,30.352978,,0,
A49,Поліклініка ,50.436111,30.411165,,0,
A491,ст.м. "Васильківська",50.393242,30.488783,,0,
A493,ст.м. "Деміївська",50.405407,30.518213,,0,
A494,ст.м. "Голосіївська",50.39838,30.511433,,0,
A497,Кільцева дорога (75),50.392536,30.428347,,0,
A498,вул. Касіяна,50.378544,30.457188,,0,
A499,вул. Г-Барського,50.409187,30.391834,,0,
A50,Солом’янська площа,50.431721,30.469059,,0,
A503,Північ. Кладовище,50.61095,30.783718,,0,
A507,Севастопольська пл.,50.424099,30.458012,,0,
A51,ст.м "Палац спорту",50.437778,30.520643,,0,
